Name	Completeness	Contamination	Completeness_Model_Used	Translation_Table_Used	Coding_Density	Contig_N50	Average_Gene_Length	Genome_Size	GC_Content	Total_Coding_Sequences	Total_Contigs	Max_Contig_Length	Additional_Notes	Source_batch	form	Quality
T2108173915_metabat2_bins_bin.61	86.95	0.9	Neural Network (Specific Model)	11	0.905	12290	304.68674698795184	3849027	0.62	3818	458	40616	None	HSMG_12	HSMG	
T2108173918_maxbin2_bins_bin.42	96.75	6.83	Neural Network (Specific Model)	11	0.865	23495	305.04266321913383	1634467	0.43	1547	209	76007	None	HSMG_12	HSMG	
T2108173920_concoct_bins_bin.75	86.39	9.59	Neural Network (Specific Model)	11	0.864	3854	263.6469889064976	2304499	0.64	2524	738	17634	None	HSMG_12	HSMG	
T2108173922_maxbin2_bins_bin.80	84.53	3.36	Neural Network (Specific Model)	11	0.828	33892	329.3341416100873	2458292	0.38	2062	164	115296	None	HSMG_12	HSMG	
T2108173922_metabat2_bins_bin.12	82.34	7.77	Neural Network (Specific Model)	11	0.83	10012	309.29619565217394	2465748	0.41	2208	302	65627	None	HSMG_12	HSMG	
T2108173922_metabat2_bins_bin.30	47.81	0.02	Neural Network (Specific Model)	11	0.836	84895	365.5876418663304	1039776	0.6	793	20	210713	None	HSMG_12	HSMG	
T2108173922_metabat2_bins_bin.55	86.91	0.27	Gradient Boost (General Model)	11	0.874	35569	339.91829268292685	1911327	0.44	1640	87	76695	None	HSMG_12	HSMG	
T2108173926_metabat2_bins_bin.53	58.01	1.74	Neural Network (Specific Model)	11	0.908	6169	281.51306413301666	1563176	0.57	1684	277	32591	None	HSMG_12	HSMG	
T2108173926_metabat2_bins_bin.82	97.62	0.02	Gradient Boost (General Model)	11	0.864	86060	316.9015639374425	1193938	0.38	1087	18	174765	None	HSMG_12	HSMG	HQ
T2108173928_metabat2_bins_bin.7	71.62	3	Neural Network (Specific Model)	11	0.902	16175	296.12956335003577	1373676	0.34	1397	156	72592	None	HSMG_12	HSMG	
T2108173929_maxbin2_bins_bin.1	65.24	7.01	Neural Network (Specific Model)	11	0.845	4922	248.43116423196105	1986634	0.63	2259	537	36424	None	HSMG_12	HSMG	
T2108173931_concoct_bins_bin.20	75.68	0.41	Neural Network (Specific Model)	11	0.868	4507	286.66932482721955	1860282	0.4	1881	496	20452	None	HSMG_12	HSMG	
T2108173931_maxbin2_bins_bin.23	60.72	8.65	Gradient Boost (General Model)	11	0.896	3430	253.09063702436939	1978595	0.6	2339	676	28379	None	HSMG_12	HSMG	
T2108173932_metabat2_bins_bin.16	58.39	0.05	Neural Network (Specific Model)	11	0.84	30352	285.74165457184324	1404356	0.32	1378	111	97290	None	HSMG_12	HSMG	
T2108173932_metabat2_bins_bin.18	56.24	0.61	Neural Network (Specific Model)	11	0.902	8236	286.0176735218509	2952676	0.65	3112	486	30276	None	HSMG_12	HSMG	
T2108173938_maxbin2_bins_bin.12	100	10.15	Neural Network (Specific Model)	11	0.877	107065	288.09268154846	3481152	0.66	3539	365	433471	None	HSMG_12	HSMG	
T2108173938_metabat2_bins_bin.9	54.89	8.24	Gradient Boost (General Model)	11	0.903	2479	227.8590078328982	2603449	0.69	3447	1056	11029	None	HSMG_12	HSMG	
T2108173943_metabat2_bins_bin.31	83.46	1.65	Gradient Boost (General Model)	11	0.923	6094	265.42864197530866	1741223	0.68	2025	382	28194	None	HSMG_12	HSMG	
T2108173943_metabat2_bins_bin.85	80.45	0	Neural Network (Specific Model)	11	0.909	19419	291.117199391172	629929	0.37	657	48	65108	None	HSMG_12	HSMG	
T2108173944_concoct_bins_bin.33	88.08	6	Gradient Boost (General Model)	11	0.899	3029	256.1266981689309	2888638	0.72	3386	1102	24136	None	HSMG_12	HSMG	
T2108173944_metabat2_bins_bin.15	75.58	5.53	Neural Network (Specific Model)	11	0.922	16319	291.05128205128204	2542651	0.72	2691	247	84673	None	HSMG_12	HSMG	
T2108173944_metabat2_bins_bin.9	56.66	1.09	Neural Network (Specific Model)	11	0.919	6268	282.4841437632135	1305845	0.59	1419	226	23417	None	HSMG_12	HSMG	
T2108173946_concoct_bins_bin.68	71.43	1.36	Neural Network (Specific Model)	11	0.899	4447	256.5981473312748	1934683	0.6	2267	557	33465	None	HSMG_12	HSMG	
T2108173946_metabat2_bins_bin.5	70.89	1.28	Gradient Boost (General Model)	11	0.883	6360	264.01547469677956	2141251	0.68	2391	430	23744	None	HSMG_12	HSMG	
T2108173948_metabat2_bins_bin.21	78.05	2.57	Neural Network (Specific Model)	11	0.861	6607	282.010764262648	1823219	0.44	1858	343	41124	None	HSMG_12	HSMG	
T2108173949_concoct_bins_bin.67	82.89	4.23	Neural Network (Specific Model)	11	0.936	7790	299.92827758898227	5362862	0.7	5591	842	57288	None	HSMG_12	HSMG	
T2108173949_metabat2_bins_bin.21	61.4	2.48	Neural Network (Specific Model)	11	0.883	8200	282.7592940292903	2554038	0.62	2663	401	31332	None	HSMG_12	HSMG	
T2108173949_metabat2_bins_bin.54	94.59	0	Gradient Boost (General Model)	11	0.858	138533	306.1833616298812	1258282	0.38	1178	13	348352	None	HSMG_12	HSMG	HQ
T2108173953_maxbin2_bins_bin.42	71.12	9.22	Neural Network (Specific Model)	11	0.873	5584	275.81232750689975	2056092	0.64	2174	513	58189	None	HSMG_12	HSMG	
T2108173957_metabat2_bins_bin.23	60.74	2.2	Neural Network (Specific Model)	11	0.894	2782	250.85237203495632	2690887	0.65	3204	1000	13639	None	HSMG_12	HSMG	
T2108173957_metabat2_bins_bin.41	66.92	2.82	Neural Network (Specific Model)	11	0.903	5768	274.3588729609491	1838982	0.57	2023	377	19912	None	HSMG_12	HSMG	
T2108173958_maxbin2_bins_bin.66	65.6	12.76	Gradient Boost (General Model)	11	0.875	9592	255.5666316894019	1666571	0.33	1906	342	111646	None	HSMG_12	HSMG	
T2108173958_metabat2_bins_bin.35	49.77	1.49	Neural Network (Specific Model)	11	0.893	9177	333.01522842639594	660108	0.43	591	81	34089	None	HSMG_12	HSMG	
T2108173960_metabat2_bins_bin.7	55.1	1.42	Neural Network (Specific Model)	11	0.864	5014	243.58848744641764	1378735	0.31	1633	323	16562	None	HSMG_12	HSMG	
T2108173965_concoct_bins_bin.43	87.31	2.34	Gradient Boost (General Model)	11	0.899	4194	283.64811691961773	1680293	0.56	1779	506	15698	None	HSMG_12	HSMG	
T2108173967_concoct_bins_bin.102	70.1	5.25	Gradient Boost (General Model)	11	0.888	2030	217.88957055214723	2753934	0.68	3749	1412	28122	None	HSMG_12	HSMG	
T2108173967_metabat2_bins_bin.63	86.28	5.98	Neural Network (Specific Model)	11	0.891	14508	306.3473726434015	2567137	0.71	2493	272	66259	None	HSMG_12	HSMG	
T2108173968_maxbin2_bins_bin.78	66.97	2.94	Gradient Boost (General Model)	11	0.898	3439	244.76616915422886	1310706	0.45	1608	456	14903	None	HSMG_12	HSMG	
T2108173969_metabat2_bins_bin.3	86.37	0	Gradient Boost (General Model)	11	0.866	174500	312.010162601626	1061186	0.38	984	9	487327	None	HSMG_12	HSMG	
T2108173972_maxbin2_bins_bin.32	99.99	4.65	Neural Network (Specific Model)	11	0.874	31320	287.2748592870544	5248337	0.63	5330	551	126380	None	HSMG_12	HSMG	HQ
T2108173972_metabat2_bins_bin.31	52.14	2.59	Neural Network (Specific Model)	11	0.864	22527	294.70692431562	1268845	0.32	1242	112	74318	None	HSMG_12	HSMG	
T2108173973_metabat2_bins_bin.54	82.68	1.56	Gradient Boost (General Model)	11	0.882	22641	293.9422407794015	1434246	0.4	1437	111	65941	None	HSMG_12	HSMG	
T2108173975_maxbin2_bins_bin.19	86.49	4.61	Neural Network (Specific Model)	11	0.836	12955	257.1487216420598	2557881	0.32	2777	432	49135	None	HSMG_12	HSMG	
T2108173975_metabat2_bins_bin.39	80.95	2.99	Neural Network (Specific Model)	11	0.901	13438	284.4331683168317	1525444	0.33	1616	168	49927	None	HSMG_12	HSMG	
T2108173976_metabat2_bins_bin.20	65.29	1.06	Neural Network (Specific Model)	11	0.907	8460	294.1381456129434	1560549	0.6	1607	219	31875	None	HSMG_12	HSMG	
T2108173976_metabat2_bins_bin.29	56.1	1.83	Neural Network (Specific Model)	11	0.878	11794	293.1857674803475	2416100	0.56	2417	271	49990	None	HSMG_12	HSMG	
T2108173980_metabat2_bins_bin.104	81.44	6.31	Gradient Boost (General Model)	11	0.886	6978	276.1765935214211	893994	0.27	957	165	30471	None	HSMG_12	HSMG	
T2108173980_metabat2_bins_bin.126	73.74	1.03	Gradient Boost (General Model)	11	0.881	6587	289.85177595628414	1442011	0.41	1464	289	28604	None	HSMG_12	HSMG	
T2108173980_metabat2_bins_bin.15	76.92	0.08	Gradient Boost (General Model)	11	0.934	17999	314.8151260504202	839562	0.29	833	76	38256	None	HSMG_12	HSMG	
T2108173981_metabat2_bins_bin.12	48.86	0.7	Neural Network (Specific Model)	11	0.892	7550	283.38053613053614	1633398	0.56	1716	256	42863	None	HSMG_12	HSMG	
T2108173984_metabat2_bins_bin.38	61.03	0.35	Neural Network (Specific Model)	11	0.884	7680	289.6406003159558	1241567	0.55	1266	202	25893	None	HSMG_12	HSMG	
T2108173986_concoct_bins_bin.84	92.5	6.93	Neural Network (Specific Model)	11	0.871	8365	268.4212201591512	5219316	0.51	5655	786	57921	None	HSMG_12	HSMG	
T2108173986_metabat2_bins_bin.76	64.84	3.87	Neural Network (Specific Model)	11	0.858	3749	238.85080831408777	1805023	0.31	2165	525	34851	None	HSMG_12	HSMG	
T2108173990_concoct_bins_bin.96	88.84	16.18	Neural Network (Specific Model)	11	0.823	5431	272.2610497237569	4308325	0.41	4344	989	71536	None	HSMG_12	HSMG	
T2108173992_concoct_bins_bin.12	72.07	1.75	Gradient Boost (General Model)	11	0.854	4594	277.9344016024036	1946194	0.5	1997	491	21367	None	HSMG_12	HSMG	
T2108173992_maxbin2_bins_bin.80	84.69	2.95	Neural Network (Specific Model)	11	0.877	15814	320.2653721682848	2027540	0.56	1854	274	74030	None	HSMG_12	HSMG	
T2108173992_metabat2_bins_bin.18	65	6.23	Neural Network (Specific Model)	11	0.893	6089	287.669678147939	1708305	0.42	1771	337	40328	None	HSMG_12	HSMG	
T2108173992_metabat2_bins_bin.58	82.16	3.68	Gradient Boost (General Model)	11	0.883	9220	295.4433268858801	2590467	0.44	2585	379	38086	None	HSMG_12	HSMG	
T2108173994_maxbin2_bins_bin.4	54.63	10.14	Neural Network (Specific Model)	11	0.842	5076	261.2076466710613	1407249	0.63	1517	429	19236	None	HSMG_12	HSMG	
T2108173996_metabat2_bins_bin.25	79.49	4.59	Neural Network (Specific Model)	11	0.898	5924	266.1390005743825	3091778	0.67	3482	635	26812	None	HSMG_12	HSMG	
T2108173996_metabat2_bins_bin.3	58.16	3.74	Neural Network (Specific Model)	11	0.907	5167	249.05287356321838	2145385	0.68	2610	507	31290	None	HSMG_12	HSMG	
T2108173997_metabat2_bins_bin.35	88.48	1.74	Neural Network (Specific Model)	11	0.894	15412	297.7672261484099	2261077	0.37	2264	224	48051	None	HSMG_12	HSMG	
T2108174002_maxbin2_bins_bin.27	53.26	2.36	Neural Network (Specific Model)	11	0.897	2439	240.78780571822253	2331450	0.59	2903	1066	12769	None	HSMG_12	HSMG	
T2108174003_metabat2_bins_bin.2	69.77	0.67	Neural Network (Specific Model)	11	0.917	47364	312.9457282913165	2917043	0.65	2856	113	144848	None	HSMG_12	HSMG	
T2108174006_concoct_bins_bin.46	59.99	5.72	Neural Network (Specific Model)	11	0.91	3089	261.1313609467456	1450993	0.37	1690	520	215223	None	HSMG_12	HSMG	
T2108174007_maxbin2_bins_bin.62	82.58	11.25	Neural Network (Specific Model)	11	0.853	13979	276.32602611940297	2080392	0.55	2144	246	58359	None	HSMG_12	HSMG	
T2108174007_maxbin2_bins_bin.75	86.59	6.79	Gradient Boost (General Model)	11	0.889	24070	279.1767955801105	1021215	0.48	1086	120	61159	None	HSMG_12	HSMG	
T2108174007_metabat2_bins_bin.21	53.93	0.82	Neural Network (Specific Model)	11	0.93	110105	302.0323699421965	840597	0.3	865	23	353012	None	HSMG_12	HSMG	
T2108174007_metabat2_bins_bin.36	94.02	0.13	Gradient Boost (General Model)	11	0.896	86237	320.4016973125884	757657	0.4	707	14	158584	None	HSMG_12	HSMG	HQ
T2108174011_maxbin2_bins_bin.45	68.88	6.33	Neural Network (Specific Model)	11	0.917	2886	228.65091015854375	2542361	0.71	3406	1049	13005	None	HSMG_12	HSMG	
T2108174016_concoct_bins_bin.58	80.45	4.36	Gradient Boost (General Model)	11	0.921	4556	269.5740785352927	3637342	0.69	4151	952	32166	None	HSMG_12	HSMG	
T2108174016_metabat2_bins_bin.25	85.41	7.92	Neural Network (Specific Model)	11	0.834	16250	258.9355400696864	2667673	0.32	2870	311	133409	None	HSMG_12	HSMG	
T2108174022_concoct_bins_bin.142	53.54	4.78	Neural Network (Specific Model)	11	0.902	4014	242.81565967940813	2612768	0.61	3244	833	27977	None	HSMG_12	HSMG	
T2108174023_metabat2_bins_bin.104	60.62	3.03	Neural Network (Specific Model)	11	0.877	13441	308.32142857142856	884254	0.46	840	92	40710	None	HSMG_12	HSMG	
T2108174023_metabat2_bins_bin.23	83.73	4.07	Neural Network (Specific Model)	11	0.913	8623	301.2102803738318	2113835	0.73	2140	358	32025	None	HSMG_12	HSMG	
T2108174024_maxbin2_bins_bin.10	84.36	4.23	Neural Network (Specific Model)	11	0.855	5267	269.7389423076923	1962824	0.64	2080	522	24531	None	HSMG_12	HSMG	
T2108174026_maxbin2_bins_bin.20	77.06	3.24	Neural Network (Specific Model)	11	0.818	4712	276.83115967571376	2876838	0.42	2837	846	32676	None	HSMG_12	HSMG	
T2108174026_metabat2_bins_bin.22	72.85	2.41	Neural Network (Specific Model)	11	0.864	4261	270.75112866817153	1661498	0.64	1772	445	17353	None	HSMG_12	HSMG	
T2108174026_metabat2_bins_bin.32	65.46	2.31	Neural Network (Specific Model)	11	0.82	5865	285.12671059300555	2057657	0.42	1973	434	32676	None	HSMG_12	HSMG	
T2108174027_concoct_bins_bin.21	58.82	5.53	Gradient Boost (General Model)	11	0.911	1468	206.2871830020562	989029	0.4	1459	662	7316	None	HSMG_12	HSMG	
T2108174027_metabat2_bins_bin.17	62.35	0.58	Neural Network (Specific Model)	11	0.883	3653	255.28957973517558	3006652	0.56	3474	899	15133	None	HSMG_12	HSMG	
T2108174027_metabat2_bins_bin.5	55.15	3.89	Neural Network (Specific Model)	11	0.897	7664	292.48026868178	1162407	0.32	1191	191	29303	None	HSMG_12	HSMG	
T2108174029_metabat2_bins_bin.1	64.54	0.56	Neural Network (Specific Model)	11	0.884	3414	281.6228239845261	1479621	0.64	1551	437	19646	None	HSMG_12	HSMG	
T2108174037_concoct_bins_bin.38	86.18	8.05	Gradient Boost (General Model)	11	0.897	4382	258.12018288700193	1319117	0.42	1531	387	28781	None	HSMG_12	HSMG	
T2108174039_metabat2_bins_bin.30	82.12	1.94	Neural Network (Specific Model)	11	0.881	24955	311.0177764386863	3509077	0.56	3319	240	81590	None	HSMG_12	HSMG	
T2108174040_metabat2_bins_bin.35	68.07	0.18	Neural Network (Specific Model)	11	0.854	347167	343.4380281690141	1709901	0.64	1420	9	422282	None	HSMG_12	HSMG	
T2108174043_metabat2_bins_bin.106	62.82	2.69	Neural Network (Specific Model)	11	0.894	3251	253.27000808407436	2098160	0.32	2474	697	14746	None	HSMG_12	HSMG	
T2108174043_metabat2_bins_bin.72	77.36	1.26	Neural Network (Specific Model)	11	0.844	44327	295.3582366589327	2260053	0.33	2155	96	227108	None	HSMG_12	HSMG	
T2108174044_metabat2_bins_bin.80	79.62	0.9	Neural Network (Specific Model)	11	0.86	46085	339.1414665801428	1819759	0.63	1541	64	265310	None	HSMG_12	HSMG	
T2108174045_metabat2_bins_bin.1	90.69	0.43	Neural Network (Specific Model)	11	0.89	15975	319.58448506464555	2413731	0.71	2243	221	115208	None	HSMG_12	HSMG	HQ
T2108174046_metabat2_bins_bin.48	83.09	1.8	Neural Network (Specific Model)	11	0.882	35669	327.9769930444088	2080767	0.56	1869	100	153305	None	HSMG_12	HSMG	
T2108174047_maxbin2_bins_bin.58	93.21	6.59	Neural Network (Specific Model)	11	0.888	13199	301.4728116710875	3067388	0.69	3016	387	75725	None	HSMG_12	HSMG	
T2108174048_maxbin2_bins_bin.40	99.13	3.6	Neural Network (Specific Model)	11	0.858	13264	287.6437883435583	2618862	0.44	2608	382	63324	None	HSMG_12	HSMG	HQ
T2108174048_maxbin2_bins_bin.62	98.96	6.27	Neural Network (Specific Model)	11	0.921	19351	290.01737849779084	3200087	0.71	3395	346	71231	None	HSMG_12	HSMG	
T2108174051_metabat2_bins_bin.153	48.76	2.51	Neural Network (Specific Model)	11	0.902	6418	281.2771503040834	1074232	0.35	1151	206	26234	None	HSMG_12	HSMG	
T2108174051_metabat2_bins_bin.26	64.06	0.59	Neural Network (Specific Model)	11	0.921	6862	290.47243519532674	2583925	0.66	2739	478	38524	None	HSMG_12	HSMG	
T2108174052_metabat2_bins_bin.61	80.26	4.97	Neural Network (Specific Model)	11	0.854	10823	276.0282485875706	2229868	0.35	2301	299	56175	None	HSMG_12	HSMG	
T2108174057_metabat2_bins_bin.27	69	5.17	Neural Network (Specific Model)	11	0.875	12933	272.81954887218046	1862403	0.33	1995	202	61741	None	HSMG_12	HSMG	
T2108174058_concoct_bins_bin.7	81.96	2.97	Gradient Boost (General Model)	11	0.915	3447	252.73813040725892	3918357	0.68	4739	1368	36346	None	HSMG_12	HSMG	
T2108174058_metabat2_bins_bin.26	69.93	4.87	Neural Network (Specific Model)	11	0.871	4760	287.8685141509434	1678216	0.65	1696	414	35266	None	HSMG_12	HSMG	
T2108174058_metabat2_bins_bin.36	52.11	1.15	Neural Network (Specific Model)	11	0.927	3899	276.9459691252144	1042913	0.63	1166	300	15452	None	HSMG_12	HSMG	
T2108174059_metabat2_bins_bin.13	83.61	5.13	Neural Network (Specific Model)	11	0.864	5051	272.06954545454545	2076893	0.44	2200	489	16002	None	HSMG_12	HSMG	
T2108174061_concoct_bins_bin.65	71.94	3.6	Neural Network (Specific Model)	11	0.867	3805	248.2915880799698	2270642	0.57	2651	719	18026	None	HSMG_12	HSMG	
T2108174062_concoct_bins_bin.196	77.82	9.46	Neural Network (Specific Model)	11	0.882	3182	251.41937022900763	1788782	0.39	2096	667	18894	None	HSMG_12	HSMG	
T2108174062_concoct_bins_bin.49	97.73	6.09	Gradient Boost (General Model)	11	0.906	7263	298.57579538365565	1582409	0.49	1603	336	47040	None	HSMG_12	HSMG	
T2108174062_maxbin2_bins_bin.44	46.8	1.38	Neural Network (Specific Model)	11	0.882	34138	275.0967498110355	1234790	0.36	1323	133	280138	None	HSMG_12	HSMG	
T2108174062_metabat2_bins_bin.82	59.2	1.48	Neural Network (Specific Model)	11	0.886	13031	328.39719240297273	1344172	0.62	1211	144	61891	None	HSMG_12	HSMG	
T2108174064_metabat2_bins_bin.4	51.15	0.62	Neural Network (Specific Model)	11	0.889	6842	286.43422584400463	829084	0.4	859	146	17471	None	HSMG_12	HSMG	
T2108174069_concoct_bins_bin.109	98.61	5.88	Gradient Boost (General Model)	11	0.877	24863	327.2416321326108	3506170	0.65	3137	239	112975	None	HSMG_12	HSMG	
T2108174069_maxbin2_bins_bin.20	58.06	6.91	Neural Network (Specific Model)	11	0.844	4918	227.6764985727878	1697572	0.32	2102	502	45100	None	HSMG_12	HSMG	
T2108174069_metabat2_bins_bin.53	84.31	4.68	Neural Network (Specific Model)	11	0.852	11487	273.3936117936118	1955905	0.55	2035	217	41770	None	HSMG_12	HSMG	
T2108174069_metabat2_bins_bin.85	63.94	0.94	Gradient Boost (General Model)	11	0.829	4302	239.28078524687686	1453339	0.55	1681	386	13600	None	HSMG_12	HSMG	
T2108174072_concoct_bins_bin.32	85.28	7.27	Gradient Boost (General Model)	11	0.867	3751	253.71025366202215	2451144	0.62	2799	798	21381	None	HSMG_12	HSMG	
T2108174072_metabat2_bins_bin.72	87.41	1.91	Neural Network (Specific Model)	11	0.91	13165	315.52256033578175	1979379	0.71	1906	228	44144	None	HSMG_12	HSMG	
T2108174072_metabat2_bins_bin.91	64.17	7.86	Neural Network (Specific Model)	11	0.898	4914	263.7964649169791	1640621	0.44	1867	391	35489	None	HSMG_12	HSMG	
T2108174073_concoct_bins_bin.55	71.29	11.68	Neural Network (Specific Model)	11	0.882	2432	237.2	1662715	0.4	2065	743	11395	None	HSMG_12	HSMG	
T2108174073_maxbin2_bins_bin.46	97.63	4.47	Gradient Boost (General Model)	11	0.88	72581	334.6760319112036	3286025	0.65	2883	267	167224	None	HSMG_12	HSMG	HQ
T2108174073_metabat2_bins_bin.40	74.03	3.71	Neural Network (Specific Model)	11	0.86	11812	301.75	1592852	0.64	1516	194	41629	None	HSMG_12	HSMG	
T2108174074_concoct_bins_bin.20	94.67	8.92	Neural Network (Specific Model)	11	0.862	4726	249.49444327951352	4132961	0.65	4769	1118	25027	None	HSMG_12	HSMG	
T2108174074_maxbin2_bins_bin.46	99.09	2.81	Gradient Boost (General Model)	11	0.881	53097	325.3492880945168	3652756	0.65	3301	326	195178	None	HSMG_12	HSMG	HQ
T2108174075_concoct_bins_bin.62	80.17	6.56	Neural Network (Specific Model)	11	0.834	3140	259.20222222222225	2929403	0.48	3150	1126	11793	None	HSMG_12	HSMG	
T2108174076_metabat2_bins_bin.1	73.22	0.06	Neural Network (Specific Model)	11	0.834	44046	321.5961638154484	2229707	0.42	1929	95	164642	None	HSMG_12	HSMG	
T2108174077_concoct_bins_bin.15	48.64	3.27	Neural Network (Specific Model)	11	0.819	2022	233.21389195148842	1544078	0.48	1814	805	7986	None	HSMG_12	HSMG	
T2108174079_metabat2_bins_bin.40	85.18	2.21	Neural Network (Specific Model)	11	0.937	22443	313.9352517985611	1672973	0.6	1668	118	55250	None	HSMG_12	HSMG	
T2108174081_concoct_bins_bin.139	55.35	4.25	Gradient Boost (General Model)	11	0.87	1783	209.37827988338194	1976681	0.67	2744	1138	6332	None	HSMG_12	HSMG	
T2108174081_maxbin2_bins_bin.8	84.8	3.69	Neural Network (Specific Model)	11	0.898	8215	290.33595456531236	2217145	0.73	2289	477	36660	None	HSMG_12	HSMG	
T2108174088_concoct_bins_bin.105	72.89	3.06	Gradient Boost (General Model)	11	0.889	2959	251.63474274070302	1663942	0.53	1963	642	16123	None	HSMG_12	HSMG	
T2108174088_metabat2_bins_bin.4	78.98	0.08	Neural Network (Specific Model)	11	0.908	28603	325.4446397188049	1222559	0.49	1138	62	123217	None	HSMG_12	HSMG	
T2108174088_metabat2_bins_bin.97	52.71	1	Neural Network (Specific Model)	11	0.806	3313	265.5114186851211	1426247	0.42	1445	451	11614	None	HSMG_12	HSMG	
T2108174089_maxbin2_bins_bin.44	99.94	1.75	Neural Network (Specific Model)	11	0.869	65543	295.2071668533035	1814389	0.31	1786	123	251230	None	HSMG_12	HSMG	HQ
R_T2109198892_metabat2_bins_bin.5	77.78	0.15	Neural Network (Specific Model)	11	0.874	14944	301.56415620641565	2966441	0.39	2868	253	58521	None	HSMG_12	HSMG	
R_T2109198906_metabat2_bins_bin.1	37.12	0.07	Neural Network (Specific Model)	11	0.858	194557	299.14952279957583	984857	0.32	943	11	299756	None	HSMG_12	HSMG	
R_T2109198906_metabat2_bins_bin.20	52.32	0	Neural Network (Specific Model)	11	0.879	99009	312.7191780821918	1556770	0.41	1460	24	134913	None	HSMG_12	HSMG	
R_T2109198906_metabat2_bins_bin.6	77.08	4.61	Neural Network (Specific Model)	11	0.873	12011	283.62848893166506	2023372	0.35	2078	226	47984	None	HSMG_12	HSMG	
R_T2109198960_metabat2_bins_bin.5	73.82	0.01	Neural Network (Specific Model)	11	0.862	141434	316.38193146417444	1766036	0.44	1605	18	276704	None	HSMG_12	HSMG	
R_T2109199087_metabat2_bins_bin.20	83.41	5.02	Neural Network (Specific Model)	11	0.889	21587	297.2581369248036	1784951	0.45	1782	110	63116	None	HSMG_12	HSMG	
R_T2109199169_metabat2_bins_bin.22	87.07	0.06	Neural Network (Specific Model)	11	0.891	74008	328.48560736902704	3837600	0.67	3474	94	240280	None	HSMG_12	HSMG	
T2107171953_concoct_bins_bin.141	67.23	7.55	Neural Network (Specific Model)	11	0.89	3667	260.4894881170018	1915889	0.37	2188	586	35071	None	HSMG_12	HSMG	
T2107171957_metabat2_bins_bin.39	88.49	4.09	Neural Network (Specific Model)	11	0.873	4655	284.7224694104561	1754643	0.64	1798	424	38051	None	HSMG_12	HSMG	
T2107171958_concoct_bins_bin.45	55.29	1.42	Neural Network (Specific Model)	11	0.902	2001	234.03636363636363	1666632	0.65	2145	873	10855	None	HSMG_12	HSMG	
T2107171958_metabat2_bins_bin.15	49.08	1.96	Neural Network (Specific Model)	11	0.876	11470	303.0729483282675	1363188	0.59	1316	159	85218	None	HSMG_12	HSMG	
T2107171958_metabat2_bins_bin.20	85.69	2.72	Neural Network (Specific Model)	11	0.914	7116	289.50652271704905	2107736	0.6	2223	339	39009	None	HSMG_12	HSMG	
T2107171958_metabat2_bins_bin.4	40.55	0	Neural Network (Specific Model)	11	0.916	455023	330.4702467343977	744340	0.5	689	5	455023	None	HSMG_12	HSMG	
T2107171959_maxbin2_bins_bin.43	57.65	6.57	Neural Network (Specific Model)	11	0.838	2242	222.28765920070268	1808363	0.36	2277	892	13182	None	HSMG_12	HSMG	
T2107171959_metabat2_bins_bin.12	84.43	5.33	Gradient Boost (General Model)	11	0.902	8486	277.52199661590527	3262931	0.67	3546	514	43604	None	HSMG_12	HSMG	
T2107171960_metabat2_bins_bin.26	86.5	7.3	Neural Network (Specific Model)	11	0.892	8791	263.0204638472033	3236646	0.65	3665	492	46826	None	HSMG_12	HSMG	
T2107171967_metabat2_bins_bin.28	62.72	3.61	Neural Network (Specific Model)	11	0.859	4341	247.79697113109324	1825375	0.44	2113	456	26818	None	HSMG_12	HSMG	
T2107171967_metabat2_bins_bin.54	54.85	6.91	Neural Network (Specific Model)	11	0.933	2873	248.98218673218673	1300278	0.66	1628	467	21090	None	HSMG_12	HSMG	
T2107171968_metabat2_bins_bin.15	54.16	0	Neural Network (Specific Model)	11	0.93	179166	312.2933549432739	619345	0.5	617	6	247966	None	HSMG_12	HSMG	
T2107171972_metabat2_bins_bin.7	67.03	0.12	Neural Network (Specific Model)	11	0.905	46312	298.41990950226244	1091868	0.34	1105	38	148103	None	HSMG_12	HSMG	
T2107171977_metabat2_bins_bin.5	53.9	0.58	Neural Network (Specific Model)	11	0.897	4546	262.6545153272577	1057677	0.38	1207	275	22608	None	HSMG_12	HSMG	
T2107171978_metabat2_bins_bin.22	55.72	5.57	Neural Network (Specific Model)	11	0.899	10159	272.296322999279	1257269	0.37	1387	171	43880	None	HSMG_12	HSMG	
T2107171978_metabat2_bins_bin.25	79.54	5.72	Neural Network (Specific Model)	11	0.907	9172	299.9197224975223	1999168	0.63	2018	308	32860	None	HSMG_12	HSMG	
T2107171978_metabat2_bins_bin.4	83.21	6.34	Neural Network (Specific Model)	11	0.879	8658	265.98140770252326	1364748	0.3	1506	244	34933	None	HSMG_12	HSMG	
T2107171981_concoct_bins_bin.81	99.61	8.22	Neural Network (Specific Model)	11	0.902	38556	316.6413407821229	1880980	0.53	1790	124	91211	None	HSMG_12	HSMG	
T2107171981_metabat2_bins_bin.74	72.75	0.16	Neural Network (Specific Model)	11	0.86	16979	326.3836915297092	1797280	0.47	1582	146	64284	None	HSMG_12	HSMG	
T2107171984_concoct_bins_bin.9	92.61	1.41	Gradient Boost (General Model)	11	0.866	3598	288.9831970935513	2201905	0.56	2202	744	21068	None	HSMG_12	HSMG	HQ
